"Focal_depth","Latitude","Longitude","Richter"
33,-52.77,160.17,6
22,-23.4,185.28,5.8
214,36.43,71.12,6.1
37,11.26,139.57,6.3
242,-12.23,167.02,6
34,-10.43,160.89,6
20,-10.15,161.01,6.1
523,-7.21,124.69,6.1
33,29.62,80.83,6
36,29.71,80.89,6
102,24.86,122.56,6.1
16,51.99,179.95,5.9
29,50.57,188.78,6.3
59,-0.1,125.01,6
11,-0.05,125.06,6
26,39.17,41.56,5.8
39,8.48,126.62,5.8
90,2.34,128.4,6.6
17,-23,170.6,5.9
27,-60.33,332.75,5.9
39,27.87,54.3,5.9
165,-21.59,170.56,6
35,-60.44,333.56,5.8
38,-10.74,281.37,6.3
42,-1.52,344.63,6
0,73.4,54.57,6.4
44,22.11,145.9,6
1,38.9,21.1,5.8
110,-31.95,291.6,5.9
16,41.68,144.26,5.9
136,-14.03,167.04,6
0,49.92,77.76,5.8
571,-26.06,296.9,5.8
46,-7.11,148.31,6.1
23,-25.51,289.26,6.6
23,-15.16,186.36,5.9
24,48.22,102.9,6.1
39,38.33,142.2,5.9
5,56.68,120.95,6
33,-14.83,181.25,6.3
21,48.08,103.02,6.3
42,52.4,190.46,6
1,24,294.3,6.3
36,2.93,285.17,6.3
598,-9.05,288.66,6.1
21,-23.79,184.86,6.1
88,-9.12,113.04,5.9
105,-0.09,123.95,5.8
126,-0.13,123.95,5.8
0,49.79,78.14,6
122,-0.16,281.4,5.8
60,39.25,24.6,6
38,-10.64,166.29,5.8
50,-10.75,166.34,5.9
48,-10.77,166.25,5.9
33,-40.12,285.32,5.8
80,-6.73,129.84,6
38,45.53,151.11,5.8
606,-6.01,112.33,5.9
33,-11.14,115.36,6
36,45.56,151.62,5.8
12,20,147.27,5.8
63,5.16,96.31,6.1
51,27.32,128.66,5.9
48,51.47,181.68,6
109,-20.25,291.17,5.9
184,-0.96,101.39,6.2
11,51.86,176.09,5.9
39,-15.33,186.52,5.8
136,-58.36,333.17,5.9
44,52.76,193.1,5.9
28,-25.18,289.46,5.8
38,54.44,202.06,6.2
49,52.58,191.87,5.9
33,40.67,30.69,6
160,6.84,286.91,5.9
367,35.43,135.49,6
60,10.36,125.87,6
40,3.72,95.74,6.1
33,-60.84,335.67,6.1
78,12.18,140.8,6.1
24,31.61,100.26,6.1
29,-10.59,280.33,6.2
577,-27.62,296.85,5.9
19,27.42,91.86,5.8
85,42.92,145.33,5.9
34,-57.82,336.46,6
34,-49.57,163.93,5.8
126,-20.78,169.85,5.9
0,19.5,300,5.8
20,-6.59,153.47,5.8
44,-5.66,153.92,5.8
605,-21.1,180.82,6.2
60,-7.15,129.83,6
181,11.91,274.02,6.2
0,73.4,54.42,5.9
73,24.43,122.25,6
0,-7.02,30.9,6
35,-28.78,288.81,5.9
28,14.48,51.98,5.9
21,41.41,20.44,5.9
144,49.45,154.4,5.9
27,17.54,73.84,5.9
20,-21.89,289.93,6
42,17.42,298.81,6.1
5,17.61,298.74,5.9
55,-5.25,153.7,5.8
91,-21.29,291.8,6.3
33,-22.46,185.39,5.8
80,-7.53,127.91,6
13,-9.29,158.46,6
29,-8.93,120.32,6
20,43.52,146.72,6.3
599,-6.1,113.36,6
46,-5.54,153.36,6.2
7,39.4,24.94,6
8,22.76,121.47,6
87,-16.13,186.05,5.9
528,-6.59,116.18,5.8
37,32.48,132.28,6.2
40,32.24,132.21,5.9
12,33.22,243.81,6
22,58.69,210.07,6.2
30,43.58,232.11,6.1
162,29.93,129.39,5.9
9,40.86,143.38,6.1
26,41.52,142.82,6.4
60,40.78,142.15,5.8
32,39.83,143.16,5.9
45,-30.86,181.79,6
33,-30.84,181.8,6
44,44.67,150.28,5.9
47,41.47,142.88,5.8
21,-41.72,172.03,6.1
618,-6.84,118.91,5.8
73,-2.98,139.34,6.2
45,44.48,150.19,5.8
27,-1.86,120.1,5.9
31,39.47,142.89,6
16,5.64,277.4,5.8
26,41.06,143.1,5.8
33,-5.55,282.8,6.1
33,-5.51,282.7,5.8
68,36.01,139.33,5.8
72,-2.7,139.01,5.8
44,38.54,142.14,6
30,39.54,143.2,5.8
17,-30.97,181.87,6.5
25,-0.27,133.47,6.1
36,-6.86,279.58,5.8
31,16.3,122.11,5.9
36,16.56,262.21,6.3
43,25.73,128.5,6.5
52,16.45,122.31,6.1
96,6.6,126.77,5.9
48,33.31,132.31,6.2
1,1.38,126.24,6.3
41,1.4,126.27,6.1
22,0.06,119.73,6.1
534,-10.2,159.9,6.1
33,1.17,126.14,5.8
25,34.15,59.01,5.9
14,34.09,58.24,5.9
32,-3.74,143.01,6
122,-8.62,285.45,5.9
640,-21.57,180.65,5.8
3,28.3,53.17,5.8
49,-6.08,148.77,5.9
103,10.76,297.3,6.2
57,42.08,142.65,5.9
114,15.54,267.35,5.8
12,-30.52,181.99,5.8
151,-6.89,129.21,5.9
12,-3.65,143.37,5.8
66,-13.1,283.63,5.9
0,49.82,78.18,5.8
45,-56.27,332.93,6.1
10,-7.6,126.26,5.8
518,26.29,140.7,6.1
33,-39.85,87.74,5.8
18,-31.54,117,5.9
21,-3.38,143.29,6.2
49,-12.41,166.43,5.9
7,65.46,209.93,6
1,1.2,126.34,6.1
596,-14.2,172.02,5.8
0,73.39,54.58,6.1
150,9.57,287.37,5.8
49,40.3,142.39,5.9
15,-14.01,23.82,5.9
33,51.56,175.86,5.8
82,60.15,207.18,6
79,-56.03,332.43,5.8
71,-8.03,158.94,6.2
32,-10.57,164.46,6.2
138,-56.81,333.07,6
238,44.89,143.21,6.3
114,-14.89,167.22,6.2
17,54.84,166,6
587,-21.87,180.46,5.9
24,0.77,126.02,5.9
35,-17.15,188.43,6
72,4.77,127.5,5.9
46,4.81,127.54,6.1
27,-8.07,279.91,5.9
635,-22.75,178.76,6
3,41.42,79.24,5.8
425,-6.76,126.74,6
74,3.5,128.41,5.8
53,-3.17,118.91,5.8
14,35.97,349.42,6.5
43,8.69,127.35,6.1
32,4.72,127.65,5.8
4,38.55,28.46,5.9
35,11.91,41.21,5.9
33,27.61,33.91,6.1
19,12,41.35,5.8
170,-6.11,129.91,5.8
38,-13.57,166.2,5.9
39,32.15,131.98,6.1
34,-30.5,288.62,5.8
200,-16.71,185.34,5.9
22,51.29,180.15,6.2
22,34.43,25.04,5.8
52,49.41,155.54,6
66,-7.93,159.05,5.8
33,-52.53,159.7,5.8
41,53.31,197.59,5.8
56,51.46,180.05,6.1
44,52.21,158.95,5.8
6,38.43,119.47,5.9
54,-17.3,287.52,5.8
1,-11.84,284.9,5.9
531,-5.71,125.42,6.3
21,1.26,126.23,6.1
193,36.44,70.86,5.8
193,-6.14,129.69,5.8
8,43.46,147.91,5.8
45,43.59,147.63,5.9
41,43.44,147.82,6.5
38,43.61,147.18,6.5
0,43.63,146.5,6
0,43.72,147.8,5.9
33,43.78,147.48,6
44,1.81,126.41,6
70,43.45,147.98,6
46,43.14,147.44,6.2
320,21.57,143.1,5.9
49,43.17,147.46,5.8
34,25.12,250.45,5.8
111,47.88,153.75,6
31,-8.89,157.95,5.8
17,-8.98,157.91,5.8
38,51.27,180.83,5.9
39,31.08,131.43,6.1
37,15.3,314.22,5.8
36,-60.9,304.1,5.8
43,-11.75,284.85,5.8
0,73.39,54.5,6.3
124,23.09,94.7,6.1
43,51.31,180.77,6
7,34.77,238.65,5.9
57,-16.11,186.13,5.8
31,-53.37,23.6,5.8
22,51.26,181.05,6
11,34.72,238.72,5.8
74,27.8,60.02,6.1
20,1.94,94.61,6.4
51,57.7,163.56,6.2
113,37.16,71.64,5.8
0,49.94,78.98,6
0,43.79,54.75,5.8
51,1.99,126.94,6
31,8.2,58.49,5.9
329,46.21,142.45,5.9
1,15.79,300.36,6.4
6,16.08,300.21,5.8
62,28.55,129.15,5.8
15,24.12,102.49,5.8
189,-34.85,178.79,6.1
68,6.8,126.75,5.9
82,-25.85,182.71,6.2
25,42.48,143.04,6.3
23,7.03,255.76,6.1
18,15.57,260.52,5.9
8,12.58,122.09,5.9
36,-9.84,284.45,5.8
83,9.8,125.91,5.8
24,30.61,103.05,5.8
7,50.13,180.41,6
161,52.59,184.96,6
21,12.15,143.82,6
39,-19.07,168.54,6
44,44.65,148.99,6.2
16,57.39,206.03,6.1
99,-29.6,290.58,5.8
8,51.34,173.75,5.8
3,-22.08,126.65,6.1
11,0.28,119.37,6
59,-6.26,154.62,5.8
18,39.21,29.51,6
232,-17.07,168.56,6
82,6.78,126.66,5.8
75,39.78,141.91,5.8
40,15.78,121.71,6.5
23,38.34,22.56,5.8
25,15.08,122.01,5.8
243,-18.79,169.29,6.2
12,52.93,171.45,5.8
56,14.65,267.41,5.8
37,14.61,266.71,5.8
196,-4.37,151.81,5.9
12,50.19,91.24,5.9
6,-55.92,331.93,6.1
406,27.22,140.29,6
85,-11.73,166.38,5.9
48,-9.15,281.17,6.4
54,-9.93,281.54,6
45,-9.28,280.95,5.9
43,-10.22,281.31,5.8
48,-9.88,281.31,5.8
24,42.48,78.71,5.9
53,44.72,149.46,5.9
87,-24.47,291.54,6.2
64,-58.86,157.6,6
32,-2.9,139.08,5.9
10,-51.94,285.86,5.9
99,-16,288.12,5.8
44,-22.28,289.45,6.1
72,-7.9,158.68,5.9
50,-8.75,124.04,6.2
587,-21.66,180.58,5.8
55,-10.14,281.4,5.8
148,18,295.33,5.8
44,51.35,181.49,5.8
47,32.26,131.78,6.1
47,32.31,131.83,6
73,-37.73,177.66,5.8
68,26.02,95.37,6.4
653,-1.46,287.44,6.5
17,1.16,126.2,5.8
46,-13.92,166.65,5.9
20,-14.13,166.56,6.1
45,-60.63,334.73,5.8
43,-13.89,166.53,5.8
92,-9,117.95,5.9
30,60.7,214.62,5.8
33,-56.46,217.39,5.8
76,-4.6,153.22,6
643,52.36,151.64,6.5
39,17.7,147.65,6.2
50,13,144.5,5.8
42,-6.5,154.63,5.8
8,6.37,282.52,6
6,6.52,282.6,5.8
60,-13.52,166.59,6
32,-3.56,86.19,5.8
7,-31.94,182.11,6
33,-32,181.9,5.8
124,-4.1,143.1,5.9
0,73.31,54.89,6.6
37,39.25,140.71,5.8
45,-4.97,145.45,6
33,-3.43,135.65,6.2
22,-5.1,145.13,6.2
80,-6.05,148.55,5.8
39,43.46,146.94,5.8
16,-20.94,290.19,5.8
119,-4.11,142.88,5.9
10,-11.02,163.45,6
25,-11.03,163.41,5.8
29,-23.19,289.89,5.9
39,41.79,143.5,5.8
183,29.79,140.11,6
46,-30.81,288.84,5.8
15,-3.97,279.34,6.3
0,43.87,54.78,6
46,-1.59,99.95,5.8
0,43.81,54.82,6
63,-5.23,153.59,6.2
70,-10.58,161.39,6
41,-3.21,139.69,6.5
3,-2.95,139.64,5.9
40,-3.06,139.62,6.2
34,-3.31,139.76,5.8
39,-3.01,139.62,5.9
52,-3.24,139.84,5.8
18,-3.31,139.91,6.2
22,-3.37,139.91,5.8
55,-3.08,139.45,6
33,-3.41,139.55,5.9
134,-3.63,139.44,5.8
31,-9.65,151.4,5.9
45,51.46,182.29,5.9
515,51.69,150.97,6
57,-2.89,139.38,5.8
40,0.53,98.72,6.2
40,51.47,183.19,5.8
12,-63.43,298.64,6
9,34.4,241.57,6.2
166,-23.81,292.8,6
115,-5.75,145.39,6.2
21,-10.93,163.8,5.9
20,8.43,127.23,5.8
49,-22.96,183.86,6.1
29,70.97,353.14,5.9
14,41.42,79.2,5.8
92,4.76,126.52,6
0,60.33,219.06,5.8
33,37.3,71.07,5.9
49,38.41,142.18,5.8
67,-0.36,124.73,6
150,53.26,189.47,5.8
29,2.45,129.13,6.3
74,-4.42,102.32,6.3
37,28.3,55.61,6
0,49.77,78.08,5.9
38,51.41,182.79,6
46,-6.54,105.37,5.9
146,-42.28,288.21,5.8
29,-39.78,255.13,6
42,7.99,126.95,5.9
0,63.92,146.1,5.9
3,38.85,40.52,5.9
35,18.02,290.21,6
19,51.67,176.04,5.8
76,-25.4,290.94,6
34,-5.26,153.46,5.8
54,-6.23,154.45,6.2
0,-5.18,96.89,5.9
58,-5.97,144.38,6.3
92,-7.03,129.7,6.1
40,-32.51,288.79,6.5
36,-32.19,288.28,5.8
43,-5.52,153.87,6
48,-4.86,153.32,5.8
37,-5.78,153.8,5.9
36,52.13,173.03,5.8
43,-4.93,153.18,6.6
41,39.81,77.22,5.8
74,-5.4,152.07,5.9
33,-5.53,151.84,5.8
77,-5.16,152.26,6.1
48,-5.7,151.96,6.2
23,-5.81,151.55,6
49,-5.86,151.31,6.1
88,-2.79,282.65,6.4
59,-4.89,153.34,5.8
25,-5.14,152.87,5.8
45,41.37,143.44,6.5
43,-0.85,337.93,6
60,-5.88,154.31,5.9
43,-5.74,152.13,5.9
32,49.29,155.49,6.1
9,13.3,267.59,5.8
33,-55.73,333.96,5.9
14,46.54,141.15,6
21,46.76,141.39,6.1
27,46.28,141.03,5.8
7,44.34,150.85,6
29,-20.41,185.83,5.8
22,-6.46,151.55,6.1
4,-6.79,151.8,5.9
30,39.17,143.4,5.8
107,-5.93,130.68,6.4
111,-6.54,146.64,6.3
70,-0.02,124.84,5.8
0,73.39,54.91,6.5
27,46.41,141.16,5.8
148,3.63,125.92,5.9
30,-0.45,355.11,6
52,-6.55,154.97,5.9
111,-5.42,154.28,5.8
26,11.83,142.52,5.8
50,-6.49,151.18,5.9
21,11.86,142.38,6.1
21,11.86,142.35,6.2
49,-15.57,167.24,6.3
45,-5.93,154.05,6.4
107,-5.57,153.99,5.8
66,-5.95,153.84,5.8
53,10.11,92.93,5.9
533,-23.45,180.12,6
119,-11.87,166.55,6.5
135,-11.94,166.57,5.8
99,52.85,159.22,6.4
33,-55.19,231.13,5.8
99,-29.86,290.5,5.8
38,44.77,153.33,6.2
77,-6.02,154.56,5.9
39,56.04,163.17,6.2
0,47.9,48.07,6
116,-4.75,151.84,5.9
11,-16.85,174.9,5.8
6,22.5,122.08,5.9
166,-4.6,151.86,5.9
29,-30.65,182.18,5.9
12,-2.09,138.96,5.9
36,20.95,120.26,6.1
56,-55.72,331.25,6.2
23,-4.84,145.1,5.8
37,-4.74,145,5.9
214,36.4,70.72,5.8
33,-13.18,166.32,5.8
12,-3.54,151.29,5.8
29,22.55,122.37,6.2
34,23.05,122.14,6
127,-19.38,169.13,6.1
45,19.36,122.06,5.8
5,-15.36,186.7,5.8
101,-11.43,166.37,6.2
60,-17.62,288.73,5.8
40,-60.59,334.5,5.9
50,33.38,140.97,6.5
52,33.48,141.05,5.9
12,-18.94,186.28,5.9
54,33.45,141,5.8
181,-28.25,181.73,6.1
29,-3.74,131.39,5.9
37,33.6,141.38,5.9
72,40.84,141.98,5.9
52,-6.79,283.24,6.1
43,51.27,180.79,6
135,49.05,153.6,6.2
33,-45.1,166.68,5.8
43,56.14,202.86,6
124,48.04,153.13,5.8
40,43.33,146.03,5.9
479,-25.69,179.58,6.1
33,-49.35,164.09,6.2
1,-16.05,187,5.9
376,-7.47,125.56,6.1
33,-53.52,159.08,5.9
21,42.09,84.58,5.8
11,28.39,52.78,6
0,0.99,331.7,6
48,24.1,122.44,5.8
91,53.95,193.18,5.8
116,-31.4,249.01,5.8
29,23.6,121.55,6.1
38,13.38,120.34,6.4
413,-5.13,154.23,6
30,5.22,259.68,5.9
46,-15.94,167.53,6.3
14,35.16,23.56,5.9
38,-4.21,152.71,5.8
565,-17.82,181.21,5.8
342,-27.74,181.01,5.8
36,16.61,122.19,5.9
208,-17.76,184.94,6.1
45,-11.05,116.97,6.1
39,-30.34,288.42,5.9
336,3.86,124.26,6.2
27,53.25,193.22,5.8
66,-7.12,155.87,5.9
47,36.28,69.69,5.9
31,50.1,230.7,5.8
29,56.77,224.09,6.2
19,30.71,141.82,5.8
92,2.35,127.56,5.8
47,49.13,155.97,5.8
10,-11.1,162.17,5.9
20,-16.66,187.99,5.8
45,51.34,180.71,5.8
43,-6.29,144.46,5.9
26,-6.04,152.9,6.3
22,-6.05,152.63,5.8
53,-5.15,134.09,6.1
573,49.47,147.08,5.9
115,-33.49,180.6,5.9
0,73.39,54.65,6.3
122,-14.99,167.3,5.8
51,29.41,130.64,6.1
45,35.94,73.33,6.2
64,-11.78,166.31,6.1
154,1.9,128.2,5.9
49,-19.89,169.08,6.1
107,-2.52,119.22,5.8
0,71.42,349.61,5.9
48,-15.35,184.4,5.9
75,37.96,22.38,5.8
30,-20.36,168.89,5.8
20,15.23,263.74,6
23,-9.93,119.6,5.8
0,19.55,289.78,5.8
33,-6.22,131.15,6
33,-6.56,131.3,5.9
7,-30.91,291.79,5.8
10,-16.47,187.83,5.8
632,7.46,123.77,6
119,1.81,127.45,5.8
35,52.89,197.02,6
33,-8.79,124.98,6.3
63,27.48,128.57,6
2,-7.33,146.83,5.8
0,49.91,78.85,6.1
37,-20.03,168.91,6
22,23.87,121.61,5.9
111,38.33,73.17,5.9
0,-6.72,154.53,5.8
73,6.41,126.62,6
62,33.34,140.82,6.7
0,-1.52,136.67,6.1
0,49.97,78.95,6
16,44.68,149.37,5.9
83,-7,155.81,5.9
139,-7.5,127.83,6
159,-4.35,153.45,6.9
61,-30.51,288.92,5.9
147,-39.02,175.23,6.4
24,-14.66,166.41,6
38,-6.88,150.03,6.3
90,-12.1,166.52,6
112,-0.14,124,5.9
48,18.53,257.07,6.1
508,28.22,139.3,5.9
214,-22.53,293.81,6
5,31.33,100.49,5.9
35,31.5,100.33,5.9
42,22.27,121.52,5.9
53,-19.16,168.69,5.8
41,-61.1,321.99,6.2
62,50.51,156.58,6
24,54.73,161.7,5.9
25,6.32,127.38,5.9
56,-3.01,139.08,5.8
62,50.78,157.19,6
11,2.18,126.65,5.9
193,-19.41,169.39,5.9
44,13.41,122.87,5.9
33,2.09,126.55,5.9
51,29.3,130.41,5.9
146,4.7,284.33,6.1
39,7,91.33,5.8
38,-15.81,167.24,5.8
15,-9.81,119.29,5.8
46,50.86,157.43,6.1
20,4.96,281.88,6.4
19,-59.38,333.88,6
9,20.05,204.84,5.9
15,-10.01,150.2,6
33,2.25,126.74,5.8
48,-1.46,99.8,5.8
0,-6.34,151.18,5.8
23,-6.26,151.86,5.8
0,53.97,196.29,6.1
1,24.31,93.52,5.8
33,-54,159.35,5.8
91,-10.31,161.42,6.2
0,-6.73,154.81,5.8
55,-7.27,156.14,5.9
33,53.61,161.38,5.9
44,51.27,180.62,5.8
0,44.98,234.13,5.8
41,43.12,145.74,6.5
39,42.92,146.39,5.8
11,42.65,146.08,6
0,-5.88,151.86,6.5
26,43.28,146.43,6.3
19,43.14,146.89,5.8
45,19.11,121.19,5.8
10,43.01,146.66,5.8
56,43.28,145.81,5.9
30,57.86,222.58,6.2
56,12.21,125.29,6
0,57.99,221.96,6.1
22,35.16,86.4,5.9
49,36.45,141.05,5.8
373,-24.83,180.81,5.9
0,49.94,78.85,6.1
203,-14.33,167.29,6.1
33,-16.22,186.92,6
44,43.38,146.46,5.9
109,-4.5,144.1,5.9
346,-31.38,180.62,6
33,57.09,205.88,5.8
55,-7.22,156.08,5.9
75,18.25,263.42,6.6
77,-0.15,342.03,5.8
45,-37.27,179.32,5.9
43,7.15,84.33,5.8
552,42.48,131.05,5.8
0,73.32,54.97,6.8
64,9.2,126.19,5.8
128,-7.02,283.81,5.8
542,9.23,123.92,5.9
33,-4.4,257.9,6
33,-4.37,257.96,6
33,-54.97,146.25,5.8
0,70.8,53.42,5.9
567,41.93,130.99,6.3
56,35.67,140.64,5.9
33,-32.98,288.13,5.8
33,-61.05,338.3,6.2
28,-14.34,167.06,5.9
32,0.52,330.53,5.9
56,19.42,255.02,6
517,-21.95,296.35,6.1
0,70.8,53.92,6.9
48,-2.96,139.34,5.9
7,-25.98,292.28,5.8
18,51.52,184.73,5.8
60,49.99,156.33,5.9
270,-31.2,180.53,5.8
62,49.99,156.31,5.9
56,38.98,141.93,6.1
45,53.61,160.49,5.9
124,-15.18,167.43,6.2
23,-35.59,285.46,5.8
42,43.25,146.75,5.8
26,-19.9,169.66,5.9
0,50.03,79.02,5.8
52,51.38,182.15,5.8
42,-9.52,119.39,6
191,-20.61,183.68,5.9
517,-23.88,180,6.2
13,-14.56,166.8,6.3
43,-15.13,166.91,6.2
41,-14.92,166.48,5.8
10,-15.37,166.54,5.8
83,-22.49,291.74,6.6
92,-12.28,283.7,6.1
24,-38.84,46.43,5.9
36,-14.45,166.87,6.3
27,42.03,143.89,5.8
51,-5.15,134.15,5.9
32,-7.39,155.92,5.9
33,-7,155.78,5.8
12,-7.28,155.63,6.2
21,18.93,120.13,5.8
39,-5.13,133.91,5.8
46,-7.35,155.82,5.8
7,53.74,195.3,5.9
10,-3.79,134.01,5.8
391,33.17,136.98,5.9
46,44.01,147.78,5.8
37,1.27,97.63,6
34,9.51,276.05,5.8
19,-20.02,169.77,6
47,-7.48,156.2,5.8
57,-7.48,156.01,5.8
154,48.31,153.16,5.8
25,-14.91,187.17,5.9
504,-23.93,179.88,6
74,12.57,144.24,5.8
23,57.56,206.08,5.8
8,55.15,199.43,5.8
6,55.05,199.49,6
44,-26.28,184.22,6.1
386,-31.55,179.79,6.2
33,-33.49,182.69,6
10,34.57,138.75,5.8
33,-4.3,257.93,5.9
17,28.19,103.98,5.8
43,1.87,126.48,6.1
26,19.73,147.34,6.2
58,49.98,156.22,6
100,-11.17,284.99,5.9
141,-6.55,106.77,5.8
13,-17.68,167.8,5.8
7,-17.62,167.53,6.2
0,49.91,78.91,5.9
256,-15.89,184.96,6.1
397,-31.88,179.94,6
52,-56.03,332.53,5.9
0,-2.25,141.1,5.8
20,-26.02,84.3,6.1
68,-4.72,152.56,5.9
33,-29.22,184.06,6.5
77,-29.37,183.87,6
16,45.2,93.86,5.9
45,36.44,141.17,6
12,7.76,282.43,6.4
10,7.74,282.46,5.8
50,46.22,153.14,6
46,46.01,152.88,5.9
210,36.42,70.76,6.3
7,39.34,73.77,6.2
26,39.46,73.63,5.8
19,-38.34,286.73,5.9
45,32.18,142.37,5.9
0,73.41,54.93,6.4
34,18.27,119.2,5.9
62,-4.26,143.55,5.8
60,-9.8,108.49,6
